workerid,OS,screenH,screenW,Browser
0,Windows,900,1600,Chrome
1,Linux,768,1366,Chrome
2,Linux,1080,1920,Chrome
3,Windows,1080,1920,Chrome
4,Windows,1080,1920,Chrome
5,Windows,720,1280,Chrome
6,Windows,900,1600,Chrome
7,Windows,1340,2144,Firefox
8,Windows,1080,1920,Chrome
9,Windows,720,1280,Firefox
10,Windows,960,1440,Chrome
11,Windows,768,1366,Chrome
12,Windows,768,1360,Chrome
13,Windows,1080,1920,Chrome
14,Windows,1080,1920,Firefox
15,Windows,800,1280,Chrome
16,Windows,1080,1920,Chrome
17,Windows,1024,1280,Chrome
18,Windows,1080,1920,Firefox
19,Windows,900,1600,Chrome
20,Mac,1080,1920,Chrome
21,Mac,800,1280,Safari
22,Windows,900,1600,Chrome
23,Windows,900,1440,Firefox
24,Windows,1080,1920,Firefox
25,Windows,768,1366,Chrome
26,Windows,1080,1920,Chrome
27,Windows,768,1360,Mozilla
28,Windows,768,1366,Chrome
29,Windows,960,1280,Firefox
30,Windows,1080,1920,Chrome
31,Windows,614,768,Firefox
32,Windows,704,1252,Firefox
33,Windows,1206,2144,Firefox
34,Windows,800,1280,Chrome
35,Windows,858,1143,Firefox
36,Windows,1080,1920,Firefox
37,Windows,1024,1280,Chrome
38,Windows,1200,1920,Chrome
39,Windows,900,1600,Firefox
40,Windows,900,1600,Chrome
41,Windows,1050,1680,Chrome
42,Windows,768,1366,Chrome
43,Windows,1024,1280,Chrome
44,Windows,1080,1920,Chrome
45,Windows,1024,1280,Chrome
46,Mac,900,1440,Firefox
47,Windows,768,1366,Firefox
48,Windows,768,1366,Chrome
49,Windows,1200,1600,Chrome
50,Windows,768,1366,Firefox
51,Windows,576,1024,Chrome
52,Windows,1200,1920,Chrome
53,Windows,1050,1400,Chrome
54,Windows,900,1600,Chrome
55,Windows,768,1366,Chrome
56,Windows,900,1600,Chrome
57,Windows,1024,1280,Chrome
58,Windows,1080,1920,Firefox
59,Windows,900,1600,Chrome
