HitId	HitTitle	Annotation	AssignmentId	workerid	Status	AcceptTime	SubmitTime	Answer.features	Answer.altAnimals	Answer.orders	Answer.gender	Answer.age	Answer.income	Answer.language	Answer.comments
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	3TAYZSBPLL98OVKM73OTGL2DORYS2D	A2OGWB5LE6RHNA	Approved	Sun Apr 20 23:06:52 PDT 2014	Sun Apr 20 23:10:22 PDT 2014	"[""furry"",""striped"",""large"",""wooly"",""quiet"",""noisy"",""mean"",""independent"",""smelly"",""soft"",""scary"",""bouncy"",""jumpy"",""graceful"",""pretty"",""wild"",""ferocious"",""fat"",""slimy"",""fast"",""friendly"",""free"",""dumb"",""wet"",""small"",""cute"",""funny"",""fierce""]"	"[""Rabbit"",""Zebra"",""Elephant"",""Mammoth"",""Mouse"",""Cricket"",""Snake"",""Cat"",""Beaver"",""Kitty"",""Bear"",""Tiger"",""Lion"",""Bobcat"",""Giraffe"",""Leopard"",""Warthog"",""Pig"",""Snail"",""Dog"",""Parrot"",""Whale"",""Goat"",""Duck"",""Ant"",""Monkey"",""Chimp"",""Gorilla""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""F"""	"""35"""	"""6"""	"""English"""	""""""
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	30H4UDGLT2J1I78NP43J0PB07C8MPI	A2TDGWWPX6IMIZ	Approved	Sun Apr 20 23:06:34 PDT 2014	Sun Apr 20 23:10:49 PDT 2014	"[""quacking"",""funny"",""hungry"",""striped"",""dumb"",""bouncy"",""furry"",""large"",""scary"",""noisy"",""dirty"",""fast"",""free"",""mean"",""big"",""cold"",""playful"",""wild"",""smelly"",""majestic"",""huge"",""small"",""soft"",""exotic"",""scaly"",""beautiful"",""pretty"",""jumpy""]"	"[""duck"",""giraffe"",""lion"",""tiger"",""goose"",""cat"",""dog"",""elephant"",""cougar"",""chimpanzee"",""monkey"",""cheetah"",""bird"",""snake"",""whale"",""seal"",""penquin"",""elk"",""moose"",""lion"",""whale"",""mouse"",""cat"",""flamingo"",""snake"",""swan"",""parakeet"",""monkey""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""M"""	"""65"""	"""4"""	"""English"""	""""""
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	3HHRAGRYX864QNDSLVMZ630QX84O93	A24B3SUCSASXTV	Approved	Sun Apr 20 23:06:45 PDT 2014	Sun Apr 20 23:11:19 PDT 2014	"[""noisy"",""graceful"",""beautiful"",""wooly"",""bouncy"",""slimy"",""slow"",""wet"",""dirty"",""scary"",""busy"",""nocturnal"",""hungry"",""loyal"",""small"",""free"",""ferocious"",""dangerous"",""jumpy"",""playful"",""soft"",""fluffy"",""friendly"",""fast"",""exotic"",""happy"",""smart"",""blind""]"	"[""Crow"",""Swan"",""Peacock"",""Sheep"",""Kangaroo"",""Slug"",""Turtle"",""Fish"",""Pig"",""Bear"",""Beaver"",""Owl"",""Hippo"",""Dog"",""Mouse"",""Bluebird"",""Tiger"",""Bear"",""Rabbit"",""Dog"",""Cat"",""Cat"",""Dog"",""Cheetah"",""Giraffe"",""Cat"",""Dolphin"",""Bat""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""M"""	"""25"""	"""0"""	"""English"""	""""""
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	3PMBY0YE2743HYGPVQD8B3698UM9CS	AZ9A137H25EDX	Approved	Sun Apr 20 23:06:32 PDT 2014	Sun Apr 20 23:11:34 PDT 2014	"[""soft"",""pretty"",""ferocious"",""scary"",""blind"",""independent"",""slow"",""busy"",""annoying"",""free"",""big"",""nocturnal"",""small"",""scaly"",""quiet"",""dumb"",""large"",""friendly"",""loyal"",""fierce"",""beautiful"",""strong"",""exotic"",""majestic"",""dangerous"",""playful"",""wise"",""huge""]"	"[""bunny"",""cat"",""lion"",""snake"",""bat"",""cat"",""turtle"",""ant"",""dog"",""bird"",""bear"",""bat"",""snail"",""lizard "",""mouse"",""dog"",""elephant "",""cat"",""dog"",""tiger"",""cheetah "",""hippopotamus "",""panda "",""lion"",""shark"",""puppy"",""owl"",""rino""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""F"""	"""35"""	"""4"""	"""english"""	"""none"""
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	3W92K5RLWUIGFKKDJHVWPFPW75JV5M	A3542PB4Z0NE80	Approved	Sun Apr 20 23:08:46 PDT 2014	Sun Apr 20 23:11:54 PDT 2014	"[""jumpy"",""ferocious"",""graceful"",""lazy"",""cute"",""cold"",""loyal"",""quacking"",""fluffy"",""fierce"",""exotic"",""dangerous"",""wet"",""dumb"",""strong"",""wooly"",""mean"",""dirty"",""scaly"",""majestic"",""wild"",""scary"",""slimy"",""smelly"",""furry"",""blind"",""independent"",""bouncy""]"	"[""rabbit"",""lion"",""swan"",""sloth"",""cat"",""penguin"",""dog"",""duck"",""rabbit"",""tiger"",""bird"",""crocodile"",""seal"",""ox"",""bull"",""sheep"",""gorilla"",""pig"",""lizard"",""horse"",""monkey"",""snake"",""slug"",""pig"",""rabbit"",""bat"",""crab"",""kangaroo""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""M"""	"""35"""	"""4"""	"""english"""	"""fun hit!"""
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	3PQ8K71NHXLTT2TW3IVH13R5E9JAA6	AE8SD57RYB4DY	Approved	Sun Apr 20 23:11:07 PDT 2014	Sun Apr 20 23:13:06 PDT 2014	"[""hungry"",""slimy"",""small"",""nocturnal"",""furry"",""mean"",""wet"",""majestic"",""smart"",""playful"",""exotic"",""soft"",""free"",""wild"",""fluffy"",""noisy"",""fast"",""happy"",""scaly"",""quiet"",""large"",""loud"",""jumpy"",""quacking"",""wise"",""fierce"",""big"",""dumb""]"	"[""wolf"",""slug"",""mouse"",""owl"",""mouse"",""badger"",""squid"",""eagle"",""fox"",""bunny"",""lemur"",""bunny"",""bird"",""tiger"",""chick"",""woodpecker"",""cheetah"",""dolphin"",""lizard"",""mouse"",""elephant"",""hyena"",""spider"",""duck"",""owl"",""tiger"",""bear"",""ox""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""F"""	"""35"""	"""8"""	"""English"""	""""""
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	3P4RDNWND57J0DFY9C07B0I7H4IIJY	A16M46MK3XDRCL	Approved	Sun Apr 20 23:10:14 PDT 2014	Sun Apr 20 23:14:09 PDT 2014	"[""wise"",""nocturnal"",""beautiful"",""furry"",""large"",""small"",""funny"",""quiet"",""smart"",""majestic"",""noisy"",""scary"",""jumpy"",""playful"",""ferocious"",""scaly"",""dirty"",""annoying"",""fluffy"",""heavy"",""bouncy"",""striped"",""cold"",""loud"",""mean"",""fat"",""happy"",""quacking""]"	"[""owl"",""owl"",""tiger"",""rat"",""elephw"",""snail"",""monkey"",""fish"",""dolphin"",""lion"",""crow"",""hyena"",""rabbit"",""kitten"",""lion"",""lizard"",""rhino"",""crackles"",""bunny"",""elephant"",""rabbit"",""zebra"",""penguin"",""dog"",""wolf"",""pig"",""puppy"",""duck""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""F"""	"""45"""	"""10"""	"""English"""	""""""
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	34Q075JO1XE1Y1IEFX5V1WMP1T210J	AZ4YYQ2ERPS65	Approved	Sun Apr 20 23:11:56 PDT 2014	Sun Apr 20 23:15:14 PDT 2014	"[""big"",""loyal"",""wooly"",""blind"",""playful"",""cute"",""pretty"",""wild"",""beautiful"",""mean"",""soft"",""small"",""scary"",""fat"",""lazy"",""ferocious"",""wise"",""heavy"",""bouncy"",""strong"",""huge"",""slow"",""funny"",""striped"",""dumb"",""nocturnal"",""friendly"",""smelly""]"	"[""elephant"",""dog"",""sheep"",""mole"",""dolphin"",""chicken"",""horse"",""lion"",""whale"",""human"",""bunny"",""mouse"",""rat"",""walrus"",""cat"",""lion"",""owl"",""rhino"",""hampster"",""gorilla"",""whale"",""donkey"",""dog"",""tiger"",""zebra"",""owl"",""dog"",""hippo""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""F"""	"""35"""	"""4"""	"""English"""	""""""
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	3PMBY0YE2743HYGPVQD8B3698UN9CT	A2O4M3CJS7563O	Approved	Sun Apr 20 23:13:00 PDT 2014	Sun Apr 20 23:15:28 PDT 2014	"[""dirty"",""loyal"",""small"",""wild"",""free"",""graceful"",""scaly"",""fast"",""fat"",""bouncy"",""exotic"",""sly"",""lazy"",""mean"",""striped"",""heavy"",""strong"",""pretty"",""wooly"",""independent"",""fluffy"",""dumb"",""quacking"",""wet"",""nocturnal"",""hungry"",""beautiful"",""smelly""]"	"[""dog"",""dog"",""cat"",""tiger"",""bird"",""dove"",""lizard"",""cheetah"",""cat"",""bunny"",""lion"",""fox"",""dog"",""bull"",""cat"",""hippo"",""rhino"",""gazelle"",""mammoth"",""eagle"",""bunny"",""dog"",""duck"",""dog"",""owl"",""hippo"",""crane"",""cat""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""M"""	"""17"""	"""4"""	"""English"""	""""""
31S7M7DAGGRCHXLGF76NG22MJU9LT6	Fun HIT about animals	1 1	3DL65MZB8DGKCU7631TU3H7KZR3EC8	A3BR45GNCLC6ZT	Approved	Sun Apr 20 23:12:15 PDT 2014	Sun Apr 20 23:15:42 PDT 2014	"[""big"",""furry"",""fast"",""small"",""dumb"",""ferocious"",""bouncy"",""scary"",""fierce"",""slow"",""playful"",""loud"",""independent"",""graceful"",""hungry"",""heavy"",""friendly"",""huge"",""annoying"",""large"",""strong"",""beautiful"",""lazy"",""pretty"",""exotic"",""smart"",""wise"",""busy""]"	"[""Elephant"",""cat"",""cheetah"",""mouse"",""sloth"",""lion"",""kangaroo"",""shark"",""Tiger"",""snail"",""dog"",""lion"",""cat"",""dolphin"",""hippo"",""whale"",""ferret"",""giraffe"",""fly"",""orca"",""ox"",""horse"",""sloth"",""gazelle"",""parrot"",""rat"",""elephant"",""bee""]"	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28]"	"""F"""	"""17"""	"""4"""	"""English"""	""""""
