workerid	Answer.gender	Answer.language	Answer.income	Answer.age	Answer.orders	Answer.features	Answer.altAnimals
A2OGWB5LE6RHNA	F	English	6	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	furry,striped,large,wooly,quiet,noisy,mean,independent,smelly,soft,scary,bouncy,jumpy,graceful,pretty,wild,ferocious,fat,slimy,fast,friendly,free,dumb,wet,small,cute,funny,fierce	Rabbit,Zebra,Elephant,Mammoth,Mouse,Cricket,Snake,Cat,Beaver,Kitty,Bear,Tiger,Lion,Bobcat,Giraffe,Leopard,Warthog,Pig,Snail,Dog,Parrot,Whale,Goat,Duck,Ant,Monkey,Chimp,Gorilla
A2TDGWWPX6IMIZ	M	English	4	65	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	quacking,funny,hungry,striped,dumb,bouncy,furry,large,scary,noisy,dirty,fast,free,mean,big,cold,playful,wild,smelly,majestic,huge,small,soft,exotic,scaly,beautiful,pretty,jumpy	duck,giraffe,lion,tiger,goose,cat,dog,elephant,cougar,chimpanzee,monkey,cheetah,bird,snake,whale,seal,penquin,elk,moose,lion,whale,mouse,cat,flamingo,snake,swan,parakeet,monkey
A24B3SUCSASXTV	M	English	0	25	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	noisy,graceful,beautiful,wooly,bouncy,slimy,slow,wet,dirty,scary,busy,nocturnal,hungry,loyal,small,free,ferocious,dangerous,jumpy,playful,soft,fluffy,friendly,fast,exotic,happy,smart,blind	Crow,Swan,Peacock,Sheep,Kangaroo,Slug,Turtle,Fish,Pig,Bear,Beaver,Owl,Hippo,Dog,Mouse,Bluebird,Tiger,Bear,Rabbit,Dog,Cat,Cat,Dog,Cheetah,Giraffe,Cat,Dolphin,Bat
AZ9A137H25EDX	F	english	4	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	soft,pretty,ferocious,scary,blind,independent,slow,busy,annoying,free,big,nocturnal,small,scaly,quiet,dumb,large,friendly,loyal,fierce,beautiful,strong,exotic,majestic,dangerous,playful,wise,huge	bunny,cat,lion,snake,bat,cat,turtle,ant,dog,bird,bear,bat,snail,lizard ,mouse,dog,elephant ,cat,dog,tiger,cheetah ,hippopotamus ,panda ,lion,shark,puppy,owl,rino
A3542PB4Z0NE80	M	english	4	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	jumpy,ferocious,graceful,lazy,cute,cold,loyal,quacking,fluffy,fierce,exotic,dangerous,wet,dumb,strong,wooly,mean,dirty,scaly,majestic,wild,scary,slimy,smelly,furry,blind,independent,bouncy	rabbit,lion,swan,sloth,cat,penguin,dog,duck,rabbit,tiger,bird,crocodile,seal,ox,bull,sheep,gorilla,pig,lizard,horse,monkey,snake,slug,pig,rabbit,bat,crab,kangaroo
AE8SD57RYB4DY	F	English	8	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	hungry,slimy,small,nocturnal,furry,mean,wet,majestic,smart,playful,exotic,soft,free,wild,fluffy,noisy,fast,happy,scaly,quiet,large,loud,jumpy,quacking,wise,fierce,big,dumb	wolf,slug,mouse,owl,mouse,badger,squid,eagle,fox,bunny,lemur,bunny,bird,tiger,chick,woodpecker,cheetah,dolphin,lizard,mouse,elephant,hyena,spider,duck,owl,tiger,bear,ox
A16M46MK3XDRCL	F	English	10	45	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	wise,nocturnal,beautiful,furry,large,small,funny,quiet,smart,majestic,noisy,scary,jumpy,playful,ferocious,scaly,dirty,annoying,fluffy,heavy,bouncy,striped,cold,loud,mean,fat,happy,quacking	owl,owl,tiger,rat,elephw,snail,monkey,fish,dolphin,lion,crow,hyena,rabbit,kitten,lion,lizard,rhino,crackles,bunny,elephant,rabbit,zebra,penguin,dog,wolf,pig,puppy,duck
AZ4YYQ2ERPS65	F	English	4	35	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	big,loyal,wooly,blind,playful,cute,pretty,wild,beautiful,mean,soft,small,scary,fat,lazy,ferocious,wise,heavy,bouncy,strong,huge,slow,funny,striped,dumb,nocturnal,friendly,smelly	elephant,dog,sheep,mole,dolphin,chicken,horse,lion,whale,human,bunny,mouse,rat,walrus,cat,lion,owl,rhino,hampster,gorilla,whale,donkey,dog,tiger,zebra,owl,dog,hippo
A2O4M3CJS7563O	M	English	4	17	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	dirty,loyal,small,wild,free,graceful,scaly,fast,fat,bouncy,exotic,sly,lazy,mean,striped,heavy,strong,pretty,wooly,independent,fluffy,dumb,quacking,wet,nocturnal,hungry,beautiful,smelly	dog,dog,cat,tiger,bird,dove,lizard,cheetah,cat,bunny,lion,fox,dog,bull,cat,hippo,rhino,gazelle,mammoth,eagle,bunny,dog,duck,dog,owl,hippo,crane,cat
A3BR45GNCLC6ZT	F	English	4	17	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	big,furry,fast,small,dumb,ferocious,bouncy,scary,fierce,slow,playful,loud,independent,graceful,hungry,heavy,friendly,huge,annoying,large,strong,beautiful,lazy,pretty,exotic,smart,wise,busy	Elephant,cat,cheetah,mouse,sloth,lion,kangaroo,shark,Tiger,snail,dog,lion,cat,dolphin,hippo,whale,ferret,giraffe,fly,orca,ox,horse,sloth,gazelle,parrot,rat,elephant,bee
