workerid,questionType,trial_type,featureType,animalID,question,feature,animal,response
0,specific,multi_slider,expanded,11,strong,fast,lion,0.29
0,specific,multi_slider,expanded,11,strong,hairy,lion,0.5
0,specific,multi_slider,expanded,11,strong,proud,lion,0.62
0,specific,multi_slider,expanded,11,strong,big,lion,0.59
0,specific,multi_slider,expanded,11,strong,hard,lion,0.6
0,specific,multi_slider,expanded,11,strong,majestic,lion,0.7
0,specific,multi_slider,core,11,strong,strong,lion,0.41
0,specific,multi_slider,expanded,11,strong,striped,lion,0.7
0,specific,multi_slider,core,11,strong,fierce,lion,0.31
0,specific,multi_slider,expanded,6,funny,agile,monkey,0.51
0,specific,multi_slider,expanded,6,funny,sleek,monkey,0.75
0,specific,multi_slider,expanded,6,funny,loyal,monkey,0.36
0,specific,multi_slider,expanded,6,funny,playful,monkey,0.27
0,specific,multi_slider,core,6,funny,smart,monkey,0.55
0,specific,multi_slider,expanded,6,funny,small,monkey,0.64
0,specific,multi_slider,expanded,6,funny,quiet,monkey,0.29
0,specific,multi_slider,expanded,6,funny,dumb,monkey,0.3
0,specific,multi_slider,expanded,6,funny,busy,monkey,0.64
0,specific,multi_slider,expanded,6,funny,friendly,monkey,0.24
0,specific,multi_slider,expanded,6,funny,happy,monkey,0.51
0,specific,multi_slider,expanded,6,funny,cute,monkey,0.04
0,specific,multi_slider,expanded,6,funny,fast,monkey,0.16
0,specific,multi_slider,expanded,6,funny,industrious,monkey,0.38
0,specific,multi_slider,expanded,6,funny,loud,monkey,0.3
0,specific,multi_slider,core,6,funny,funny,monkey,0.86
0,specific,multi_slider,expanded,6,funny,lazy,monkey,0.88
0,specific,multi_slider,expanded,2,majestic,proud,whale,0.65
0,specific,multi_slider,expanded,2,majestic,friendly,whale,0.38
0,specific,multi_slider,expanded,2,majestic,slow,whale,0.23
0,specific,multi_slider,expanded,2,majestic,fast,whale,0.86
0,specific,multi_slider,core,2,majestic,big,whale,0.85
0,specific,multi_slider,core,2,majestic,majestic,whale,0.62
0,specific,multi_slider,expanded,2,majestic,loyal,whale,0.53
0,specific,multi_slider,expanded,2,majestic,hard,whale,0.38
0,specific,multi_slider,expanded,2,majestic,fierce,whale,0.23
0,specific,multi_slider,expanded,2,majestic,cute,whale,0.34
0,specific,multi_slider,expanded,2,majestic,lazy,whale,0.84
0,specific,multi_slider,expanded,2,majestic,strong,whale,0.8
0,specific,multi_slider,expanded,2,majestic,playful,whale,0.33
0,specific,multi_slider,expanded,10,strong,big,turtle,0.53
0,specific,multi_slider,expanded,10,strong,hard,turtle,0.32
0,specific,multi_slider,expanded,10,strong,hairy,turtle,0.16
0,specific,multi_slider,core,10,strong,strong,turtle,0.5
0,specific,multi_slider,expanded,10,strong,fast,turtle,0.21
0,specific,multi_slider,core,10,strong,slow,turtle,0.18
0,specific,multi_slider,expanded,10,strong,lazy,turtle,0.72
0,specific,multi_slider,expanded,10,strong,majestic,turtle,0.46
0,general,multi_slider,expanded,4,general,strong,elephant,0.51
0,general,multi_slider,core,4,general,hard,elephant,0.56
0,general,multi_slider,expanded,4,general,striped,elephant,0.65
