animalID,animal,feature,count
1,ant,small,18
1,ant,industrious,2
2,whale,big,21
2,whale,majestic,1
3,bird,fast,5
3,bird,small,4
4,elephant,big,25
4,elephant,hard,2
5,panda,cute,12
5,panda,big,4
6,monkey,funny,9
6,monkey,smart,4
7,penguin,funny,8
7,penguin,cute,6
8,giraffe,tall,39
8,giraffe,long,4
9,cheetah,fast,34
9,cheetah,agile,1
10,turtle,slow,38
10,turtle,strong,4
11,lion,fierce,14
11,lion,strong,7
12,rabbit,fast,19
12,rabbit,cute,9
13,mouse,small,10
13,mouse,quiet,4
14,beaver,industrious,8
14,beaver,busy,4
15,horse,strong,6
15,horse,fast,5
16,eagle,majestic,11
16,eagle,proud,6
17,jaguar,fast,21
17,jaguar,sleek,5
18,armadillo,hard,9
18,armadillo,slow,5
19,cat,lazy,6
19,cat,cute,3
20,dog,loyal,21
20,dog,friendly,8
21,kitten,cute,22
21,kitten,playful,6
22,hyena,loud,7
22,hyena,funny,6
23,dolphin,smart,15
23,dolphin,happy,4
24,snake,slithery,5
24,snake,long,4
25,deer,fast,4
25,deer,dumb,3
26,sloth,slow,27
26,sloth,lazy,10
27,gorilla,big,10
27,gorilla,hairy,5
28,bear,big,9
28,bear,strong,4
29,tiger,fierce,7
29,tiger,striped,5
30,bee,busy,11
30,bee,fast,4
31,eel,slippery,15
31,eel,slimy,14
32,cougar,fast,14
32,cougar,sleek,4
33,fish,scaly,7
33,fish,slimy,5
34,donkey,slow,8
34,donkey,stubborn,7
35,cow,fat,8
35,cow,big,5
36,hippo,big,10
36,hippo,fat,9
37,mule,stubborn,11
37,mule,slow,10
38,pig,fat,14
38,pig,dirty,12
39,zebra,striped,19
39,zebra,fast,3
