workerID,gender,age,income,language,order,item,dimension,literal,quality,speaker,person,bin,bin_num,prob
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,0-10,0,0.0173913043478
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,10-100,1,0.84347826087
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,100-120,2,0.0
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,120-140,3,0.0173913043478
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,140-160,4,0.0173913043478
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,160-180,5,0.0
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,180-200,6,0.0347826086957
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,200-220,7,0.0173913043478
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,220-10000,8,0.0347826086957
1,M,25,4,english,1,bird,weight,fig,light,woman,woman,>10000,9,0.0173913043478
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,0-10,0,0.008
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,10-100,1,0.008
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,100-120,2,0.02
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,120-140,3,0.04
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,140-160,4,0.04
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,160-180,5,0.06
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,180-200,6,0.196
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,200-220,7,0.292
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,220-10000,8,0.324
1,M,25,4,english,2,elephant,weight,lit,heavy,man,man,>10000,9,0.012
1,M,25,4,english,3,penguin,height,lit,short,woman,man,0-1,0,0.0162162162162
1,M,25,4,english,3,penguin,height,lit,short,woman,man,1-4,1,0.0
1,M,25,4,english,3,penguin,height,lit,short,woman,man,4-4.5,2,0.0432432432432
1,M,25,4,english,3,penguin,height,lit,short,woman,man,4.5-5,3,0.0540540540541
1,M,25,4,english,3,penguin,height,lit,short,woman,man,5-5.5,4,0.52972972973
1,M,25,4,english,3,penguin,height,lit,short,woman,man,5.5-6,5,0.156756756757
1,M,25,4,english,3,penguin,height,lit,short,woman,man,6-6.5,6,0.102702702703
1,M,25,4,english,3,penguin,height,lit,short,woman,man,6.5-7,7,0.0648648648649
1,M,25,4,english,3,penguin,height,lit,short,woman,man,7-15,8,0.0162162162162
1,M,25,4,english,3,penguin,height,lit,short,woman,man,>15,9,0.0162162162162
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,0-1,0,0.0254777070064
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,1-4,1,0.0254777070064
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,4-4.5,2,0.0191082802548
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,4.5-5,3,0.0127388535032
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,5-5.5,4,0.0191082802548
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,5.5-6,5,0.356687898089
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,6-6.5,6,0.452229299363
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,6.5-7,7,0.0509554140127
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,7-15,8,0.0127388535032
1,M,25,4,english,4,giraffe,height,fig,tall,woman,woman,>15,9,0.0254777070064
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,0-1,0,0.0049504950495
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,1-5,1,0.00990099009901
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,5-6,2,0.217821782178
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,6-7,3,0.242574257426
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,7-8,4,0.193069306931
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,8-9,5,0.133663366337
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,9-10,6,0.113861386139
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,10-20,7,0.0594059405941
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,20-60,8,0.019801980198
1,M,25,4,english,5,cheetah,speed,lit,fast,man,woman,>60,9,0.0049504950495
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,0-1,0,0.450980392157
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,1-5,1,0.43137254902
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,5-6,2,0.00980392156863
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,6-7,3,0.0147058823529
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,7-8,4,0.00490196078431
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,8-9,5,0.0147058823529
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,9-10,6,0.0147058823529
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,10-20,7,0.0196078431373
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,20-60,8,0.0196078431373
1,M,25,4,english,6,turtle,speed,fig,slow,woman,man,>60,9,0.0196078431373
2,M,35,4,english,1,bird,weight,fig,light,woman,man,0-10,0,0.129032258065
2,M,35,4,english,1,bird,weight,fig,light,woman,man,10-100,1,0.0952380952381
2,M,35,4,english,1,bird,weight,fig,light,woman,man,100-120,2,0.0983102918587
2,M,35,4,english,1,bird,weight,fig,light,woman,man,120-140,3,0.119815668203
2,M,35,4,english,1,bird,weight,fig,light,woman,man,140-160,4,0.1044546851
2,M,35,4,english,1,bird,weight,fig,light,woman,man,160-180,5,0.0814132104455
2,M,35,4,english,1,bird,weight,fig,light,woman,man,180-200,6,0.0860215053763
2,M,35,4,english,1,bird,weight,fig,light,woman,man,200-220,7,0.0906298003072
2,M,35,4,english,1,bird,weight,fig,light,woman,man,220-10000,8,0.10291858679
2,M,35,4,english,1,bird,weight,fig,light,woman,man,>10000,9,0.0921658986175
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,0-1,0,0.13298791019
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,1-5,1,0.0880829015544
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,5-6,2,0.0811744386874
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,6-7,3,0.108808290155
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,7-8,4,0.112262521589
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,8-9,5,0.0811744386874
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,9-10,6,0.0777202072539
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,10-20,7,0.112262521589
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,20-60,8,0.0915371329879
2,M,35,4,english,2,turtle,speed,lit,slow,woman,woman,>60,9,0.113989637306
2,M,35,4,english,3,penguin,height,lit,short,man,man,0-1,0,0.124802527646
2,M,35,4,english,3,penguin,height,lit,short,man,man,1-4,1,0.0963665086888
2,M,35,4,english,3,penguin,height,lit,short,man,man,4-4.5,2,0.109004739336
2,M,35,4,english,3,penguin,height,lit,short,man,man,4.5-5,3,0.112164296998
2,M,35,4,english,3,penguin,height,lit,short,man,man,5-5.5,4,0.0963665086888
2,M,35,4,english,3,penguin,height,lit,short,man,man,5.5-6,5,0.0805687203791
2,M,35,4,english,3,penguin,height,lit,short,man,man,6-6.5,6,0.0758293838863
2,M,35,4,english,3,penguin,height,lit,short,man,man,6.5-7,7,0.105845181675
2,M,35,4,english,3,penguin,height,lit,short,man,man,7-15,8,0.107424960506
2,M,35,4,english,3,penguin,height,lit,short,man,man,>15,9,0.0916271721959
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,0-1,0,0.131907308378
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,1-4,1,0.0926916221034
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,4-4.5,2,0.0944741532977
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,4.5-5,3,0.0855614973262
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,5-5.5,4,0.096256684492
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,5.5-6,5,0.114081996435
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,6-6.5,6,0.103386809269
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,6.5-7,7,0.0802139037433
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,7-15,8,0.096256684492
2,M,35,4,english,4,giraffe,height,fig,tall,man,woman,>15,9,0.105169340463
2,M,35,4,english,5,cheetah,speed,lit,fast,man,woman,0-1,0,0.132669983416
2,M,35,4,english,5,cheetah,speed,lit,fast,man,woman,1-5,1,0.0995024875622
2,M,35,4,english,5,cheetah,speed,lit,fast,man,woman,5-6,2,0.0812603648425
2,M,35,4,english,5,cheetah,speed,lit,fast,man,woman,6-7,3,0.0945273631841
