workerid,OS,screenH,screenW,Browser
0,Windows,918,1632,Chrome
1,Windows,1024,1280,Chrome
2,Windows,1200,1920,Chrome
3,Windows,768,1366,Chrome
4,Windows,1080,1920,Chrome
5,Windows,1080,1920,Chrome
6,an unknown OS,1024,768,Safari
7,Windows,1024,1280,Chrome
8,Windows,768,1366,Chrome
9,Windows,1080,1920,Chrome
10,Windows,1080,1920,Chrome
11,Windows,900,1600,Firefox
12,Windows,960,1280,Chrome
13,Windows,768,1366,Chrome
14,Windows,1080,1920,Chrome
15,Mac,963,1540,Firefox
16,Windows,768,1365,Chrome
17,Mac,800,1280,Chrome
18,Windows,1080,1920,Chrome
19,Windows,795,1413,Firefox
20,Windows,768,1366,Chrome
21,Windows,1080,1920,Chrome
22,Windows,900,1600,Chrome
23,Windows,1050,1680,Firefox
24,Windows,1024,1280,Chrome
25,Windows,900,1440,Firefox
26,Windows,900,1440,Firefox
27,Windows,1050,1680,Chrome
28,Windows,900,1600,Chrome
29,Mac,800,1280,Safari
30,Windows,1080,1920,Chrome
31,Mac,800,1280,Firefox
32,Windows,800,1280,Chrome
33,Windows,768,1366,Chrome
34,Windows,900,1600,Chrome
35,Windows,768,1366,Chrome
36,Windows,990,1760,Firefox
37,Windows,990,1760,Firefox
38,Windows,1080,1920,Chrome
39,Windows,900,1600,Firefox
