workerid,OS,screenH,screenW,Browser
0,Windows,768,1366,Chrome
1,Windows,1080,1920,Chrome
2,Windows,1080,1920,Chrome
3,Windows,1050,1680,Chrome
4,Windows,768,1366,Chrome
5,Windows,704,1252,Firefox
6,Windows,630,1120,Firefox
7,Windows,1080,1920,Firefox
8,Windows,1024,1280,Chrome
9,Windows,1080,1920,Firefox
10,Windows,900,1600,Chrome
11,Windows,900,1440,Chrome
12,Windows,1080,1920,Chrome
13,Windows,1024,1280,Chrome
14,Windows,768,1366,Chrome
15,Windows,768,1366,Chrome
16,Windows,1080,1920,Firefox
17,Windows,768,1366,Firefox
18,Windows,1080,1920,Chrome
19,Windows,900,1600,Chrome
20,Windows,1080,1920,Chrome
21,Windows,900,1440,Chrome
22,Windows,1080,1920,Chrome
23,Windows,768,1366,Chrome
24,Windows,768,1366,Chrome
25,Windows,768,1366,Chrome
26,Mac,800,1280,Chrome
27,Windows,900,1600,Firefox
28,Linux,768,1366,Chrome
29,Windows,1080,1920,Chrome
30,Mac,800,1280,Chrome
31,Windows,1080,1920,Chrome
32,Windows,768,1366,Chrome
33,Windows,1080,1920,Chrome
34,Windows,768,1366,Chrome
35,Mac,900,1440,Chrome
36,Mac,1080,1920,Chrome
37,Windows,960,1280,Firefox
38,Mac,800,1280,Firefox
39,Windows,768,1280,Firefox
