animalID,animal,adjective,freq
13,mouse,small,10
13,mouse,tiny,9
13,mouse,quiet,4
13,mouse,little,3
13,mouse,timid,3
13,mouse,annoying,2
13,mouse,fast,2
13,mouse,gross,2
13,mouse,quick,2
13,mouse,squeaky,2
13,mouse,creepy,1
13,mouse,cute,1
13,mouse,dirty,1
13,mouse,disgusting,1
13,mouse,nasty,1
13,mouse,pest,1
13,mouse,quite,1
13,mouse,rodent,1
13,mouse,scared,1
13,mouse,scurrilous,1
13,mouse,sneaky,1
14,beaver,industrious,8
14,beaver,busy,4
14,beaver,toothy,4
14,beaver,cute,3
14,beaver,resourceful,3
14,beaver,builder,2
14,beaver,wet,2
14,beaver,aquatic,1
14,beaver,bitey,1
14,beaver,bucktooth,1
14,beaver,clever,1
14,beaver,constructive,1
14,beaver,fun,1
14,beaver,funny,1
14,beaver,furry,1
14,beaver,handy,1
14,beaver,inappropriate,1
14,beaver,industious,1
14,beaver,large,1
14,beaver,organized,1
14,beaver,pervasive,1
14,beaver,precise,1
14,beaver,quirky,1
14,beaver,slow,1
14,beaver,small,1
14,beaver,smelly,1
14,beaver,stout,1
14,beaver,sturdy,1
14,beaver,ugly,1
14,beaver,weird,1
14,beaver,worker,1
15,horse,strong,6
15,horse,fast,5
15,horse,majestic,5
15,horse,big,4
15,horse,beautiful,2
15,horse,large,2
15,horse,powerful,2
15,horse,regal,2
15,horse,cool,1
15,horse,dumb,1
15,horse,friendly,1
15,horse,functional,1
15,horse,galloper,1
15,horse,gentle,1
15,horse,graceful,1
15,horse,hairy,1
15,horse,happy,1
15,horse,heavy,1
15,horse,intelligent,1
15,horse,loyal,1
15,horse,maned,1
15,horse,muscular,1
15,horse,noble,1
15,horse,quick,1
15,horse,reliable,1
15,horse,steady,1
15,horse,sturdy,1
15,horse,swift,1
15,horse,tall,1
15,horse,trotting,1
16,eagle,majestic,11
16,eagle,proud,6
16,eagle,strong,5
16,eagle,fast,4
16,eagle,soaring,3
16,eagle,regal,2
16,eagle,bald,1
16,eagle,bold,1
16,eagle,deadly,1
16,eagle,feathered,1
16,eagle,feathery,1
16,eagle,fight,1
16,eagle,flight,1
16,eagle,flyer,1
16,eagle,flying,1
16,eagle,free,1
16,eagle,high,1
16,eagle,large,1
16,eagle,nationalistic,1
16,eagle,noble,1
16,eagle,powerful,1
16,eagle,prestigious,1
16,eagle,quick,1
16,eagle,scary,1
16,eagle,stern,1
17,jaguar,fast,21
17,jaguar,sleek,5
17,jaguar,large,2
17,jaguar,stealthy,2
17,jaguar,beautiful,1
17,jaguar,big,1
17,jaguar,clever,1
17,jaguar,dark,1
17,jaguar,evil,1
17,jaguar,feirce,1
17,jaguar,feline,1
17,jaguar,fierce,1
17,jaguar,gold,1
17,jaguar,hunter,1
17,jaguar,majestic,1
17,jaguar,quick,1
17,jaguar,scary,1
17,jaguar,silent,1
17,jaguar,smooth,1
17,jaguar,sneaky,1
17,jaguar,spotted,1
17,jaguar,vicious,1
18,armadillo,hard,9
18,armadillo,slow,5
18,armadillo,tough,3
18,armadillo,ugly,3
18,armadillo,armored,2
18,armadillo,boring,2
18,armadillo,prickly,2
18,armadillo,round,2
18,armadillo,shiny,2
18,armadillo,weird,2
18,armadillo,awesome,1
18,armadillo,comical,1
18,armadillo,dangerous,1
18,armadillo,defensive,1
18,armadillo,funny,1
18,armadillo,grey,1
18,armadillo,interesting,1
18,armadillo,lazy,1
18,armadillo,leathery,1
18,armadillo,nasty,1
18,armadillo,obtuse,1
18,armadillo,pesky,1
18,armadillo,protective,1
18,armadillo,rough,1
18,armadillo,shelled,1
18,armadillo,small,1
18,armadillo,sneaky,1
18,armadillo,sturdy,1
19,cat,lazy,6
19,cat,cute,3
19,cat,sly,3
19,cat,aloof,2
19,cat,fluffy,2
