workerid,OS,screenH,screenW,Browser
0,Windows,900,1600,Chrome
1,Windows,792,1408,Firefox
2,Windows,1080,1920,Chrome
3,Windows,800,1280,Chrome
4,Windows,768,1024,Firefox
5,Linux,864,1536,Chrome
6,Windows,704,1252,Firefox
7,Windows,900,1440,Chrome
8,Windows,1080,1920,Firefox
9,Mac,800,1280,Chrome
10,Windows,1080,1920,Chrome
11,Windows,900,1600,Chrome
12,Windows,1080,1920,Chrome
13,Windows,768,1366,Chrome
14,Windows,768,1366,Chrome
15,Windows,768,1366,Chrome
16,Windows,1080,1920,Chrome
17,Linux,768,1366,Chrome
18,Mac,800,1280,Chrome
19,Windows,1200,1920,Chrome
20,Windows,900,1440,Chrome
21,Windows,1024,1280,Chrome
22,Windows,1200,1920,Chrome
23,Windows,1024,1280,Chrome
24,Windows,900,1600,Firefox
25,Windows,1200,1920,Chrome
26,Windows,768,1366,Chrome
27,Windows,1080,1920,Chrome
28,Windows,900,1600,Chrome
29,Windows,900,1600,Chrome
30,Windows,768,1366,Chrome
31,Windows,900,1600,Chrome
32,Windows,768,1366,Firefox
33,Windows,768,1366,Chrome
34,Windows,1050,1680,Chrome
35,Windows,1080,1920,Chrome
36,Mac,1080,1920,Chrome
37,Windows,900,1600,Chrome
38,Linux,360,640,Chrome
39,Windows,768,1366,Chrome
