workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Male,20,,Yes,2
1,English,1,Male,39,,Yes,2
2,English,2,Male,23,,Yes,1
3,english,1,Male,29,n/a,Yes,3
4,english,2,Male,28,,Confused,1
5,English,2,Female,22,Thanks!,Yes,2
6,english,2,Male,33,,Yes,0
7,English,1,Male,29,,Yes,3
8,English,2,Male,31,,Yes,0
9,english,1,Male,40,cool,Yes,2
10,english,1,Female,21,,Yes,1
11,English,1,Male,21,,Yes,2
12,English,2,Male,35,"A little confusing and some of the choices don&quotechart make sense, but enjoyable and entertaining nonethe less.",Yes,3
13,English,2,Male,33,,Yes,0
14,english,2,Male,36,,Yes,3
15,English,2,Male,31,Thank you for the study and good luck with the future of your research!  If you need any participants for private studies feel free to message me at luigipwns@gmail.com.,Yes,3
16,english,1,Male,24,,Yes,3
17,english,2,Male,40,,Yes,2
18,English,1,Male,23,n/a,Yes,3
19,English,1,Male,27,,Yes,2
20,English,1,Male,34,,Yes,2
21,English,2,Male,23,,Yes,3
22,english,1,Male,40,,Yes,3
23,English,1,Male,23,"None that come to mind, pretty straight forward",No,2
24,english,1,Female,28,,Yes,3
25,English,1,Male,35,,Yes,2
26,English,1,,,,NA,3
27,English,1,Male,36,No comment for this survey.,Yes,2
28,english,2,Male,20,,Yes,2
29,english,2,,,,NA,2
30,English,2,Female,49,Some of them were funny.,Yes,4
31,English,2,Male,35,Interesting to see how literally things are taken by speakers of other languages.,Yes,2
32,English,1,Female,49,,Yes,3
33,English,2,Male,26,,Yes,2
34,English,1,Female,25,,Yes,3
35,English,1,Female,24,,Yes,2
36,Portuguese,2,Female,45,It made me think about how I view things. It was a very interesting HIT. Thank you.,Yes,2
37,English,1,Female,54,None thanks!,Yes,2
38,English,2,Male,25,,Yes,3
39,english,1,Female,56,,Yes,1
